Fecha,Latitud,Longitud,Pofundidad (km),Magnitud,Escala de Magnitud,Gap,Dmin,RMS,Lugar,Tipo,Error Horizontal,Error de Profundidad,Error de Magnitud,Número de Estaciones
2000-07-30T16:13:46.930Z,10.67,-62.8,3,3.5,md,,,,"Sucre, Venezuela",Sismo,,,,
2000-08-06T08:22:58.340Z,11.008,-62.16,74,4.7,mb,,,1.11,"Costa Afuera de Sucre, Venezuela",Sismo,,4,,18
2000-08-06T17:34:11.660Z,11.018,-62.152,83,3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-08-07T06:19:20.500Z,10.717,-62.437,113,3.6,md,,,,"Sucre, Venezuela",Sismo,,,,
2000-08-12T20:18:18.150Z,7.08,-72.914,128.5,4.1,mb,,,1.24,Frontera Colombia-Venezuela,Sismo,,24,,1
2000-08-13T01:20:33.060Z,10.885,-62.055,75,3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-08-14T12:24:12.190Z,11.144,-61.833,19,3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-08-29T10:58:22.720Z,10.892,-62.271,75,2.9,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-09-21T05:38:17.690Z,11.105,-62.492,122.4,4.6,mb,,,0.96,"Costa Afuera de Sucre, Venezuela",Sismo,,4.8,,22
2000-10-04T14:37:44.150Z,11.124,-62.559,110.3,6.2,mwc,,,0.9,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-04T15:55:59.880Z,11.084,-62.339,91,3.5,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-07T18:51:21.480Z,11.036,-62.348,98,2.7,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-13T00:13:50.790Z,10.953,-62.389,105,3.3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-18T14:08:20.460Z,11.001,-61.913,64,3.7,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-19T16:50:19.340Z,10.726,-62.304,49,3.4,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-24T23:20:09.730Z,11.216,-61.788,72,2.9,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-26T02:09:52.460Z,10.566,-62.43,70,3.1,md,,,,"Sucre, Venezuela",Sismo,,,,
2000-10-27T20:12:36.260Z,11.337,-61.819,54,3.3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-29T23:24:22.890Z,10.953,-62.343,114,3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-10-31T05:40:51.880Z,10.954,-61.901,38,2.9,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-11-03T01:19:57.990Z,9.931,-62.152,33,3.7,md,,,1.35,"Delta Amacuro, Venezuela",Sismo,,,,
2000-11-05T10:49:09.820Z,10.046,-62.138,62.1,4.5,mb,,,0.89,"Golfo de Paria, Venezuela",Sismo,,5.4,,4
2000-11-10T10:01:27.630Z,10.859,-62.516,99,3.4,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-11-22T20:53:01.870Z,11.001,-62.08,86,3.2,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-11-23T08:10:29.610Z,11.269,-62.167,3,2.9,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-11-27T19:48:52.130Z,11.329,-62.141,89,3.1,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-12-08T11:10:30.130Z,10.39,-62.632,34,3.6,md,,,,"Golfo de Paria, Venezuela",Sismo,,,,
2000-12-12T10:22:12.230Z,10.87,-62.456,100,3.8,md,,,0.68,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-12-18T03:50:03.560Z,9.491,-62.407,35,3.2,md,,,,"Delta Amacuro, Venezuela",Sismo,,,,
2000-12-23T00:16:57.320Z,11.062,-61.853,28,3.3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2000-12-29T20:06:36.810Z,10.855,-62.205,81,3.2,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-01-03T01:32:57.830Z,10.468,-62.025,33,2.7,md,,,,"Golfo de Paria, Venezuela",Sismo,,,,
2001-01-05T21:23:28.730Z,10.789,-62.438,31,3.2,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
